Year,Pollutant,Location,Value
2005,SPM,A-1,580.3
2005,SPM,A-2,605.3
2005,SPM,A-3,752.3
2005,SPM,A-4,758.8
2005,SPM,A-5,677.0
2005,SPM,A-6,619.3
2005,SPM,A-7,686.5
2005,SPM,A-8,698.3
2005,SPM,A-9,311.8
2005,SPM,A-10,346.8
2005,SPM,A-11,488.5
2005,RPM,A-1,265
2005,RPM,A-2,333
2005,RPM,A-3,275
2005,RPM,A-4,306
2005,RPM,A-5,307
2005,RPM,A-6,257
2005,RPM,A-7,280
2005,RPM,A-8,284
2005,RPM,A-9,159
2005,RPM,A-10,209
2005,RPM,A-11,299
2005,SO2,A-1,29.3
2005,SO2,A-2,35.3
2005,SO2,A-3,31.0
2005,SO2,A-4,33.8
2005,SO2,A-5,31.5
2005,SO2,A-6,33.3
2005,SO2,A-7,33.0
2005,SO2,A-8,31.5
2005,SO2,A-9,20.8
2005,SO2,A-10,31.3
2005,SO2,A-11,32.3
2005,NO2,A-1,31.0
2005,NO2,A-2,39.5
2005,NO2,A-3,33.3
2005,NO2,A-4,31.8
2005,NO2,A-5,30.3
2005,NO2,A-6,32.0
2005,NO2,A-7,34.8
2005,NO2,A-8,32.3
2005,NO2,A-9,20.8
2005,NO2,A-10,31.3
2005,NO2,A-11,34.5
2006,SPM,A-1,614
2006,SPM,A-2,812
2006,SPM,A-3,648
2006,SPM,A-4,783
2006,SPM,A-5,694
2006,SPM,A-6,645
2006,SPM,A-7,726
2006,SPM,A-8,730
2006,SPM,A-9,344
2006,SPM,A-10,387
2006,SPM,A-11,530
2007,SPM,A-1,637
2007,SPM,A-2,817
2007,SPM,A-3,669
2007,SPM,A-4,809
2007,SPM,A-5,711
2007,SPM,A-6,677
2007,SPM,A-7,755
2007,SPM,A-8,758
2007,SPM,A-9,362
2007,SPM,A-10,402
2007,SPM,A-11,544
2008,SPM,A-1,682
2008,SPM,A-2,847
2008,SPM,A-3,685
2008,SPM,A-4,834
2008,SPM,A-5,730
2008,SPM,A-6,702
2008,SPM,A-7,789
2008,SPM,A-8,816
2008,SPM,A-9,381
2008,SPM,A-10,432
2008,SPM,A-11,554


Location,Index,Latitude_Longitude,Source_of_Pollution
Joda,S1,"22°1'11''N 85°25'31''E","Industry, Mining, Transportation"
Khandhabanda,S2,"22°4'44''N 85°44'28''E","Mining, Transportation"
Thakurani,S3,"22°6'57''N 85°25'00''E","Mining, Transportation"
Bamebari,S4,"22°4'44''N 85°44'28''E","Mining, Transportation"
Rugudi,S5,"22°0'16''N 85°19'26''E","Transportation"
Bileipada,S6,"22°3'46''N 85°28'38''E","Industry, Transportation"


AQI_Value,Category,Health_Concern
0-25,Clean Air (CA),Minimal or none
26-50,Light Air Pollution (LAP),Possible respiratory or cardiac effect for sensitive group
51-75,Moderate Air Pollution (MAP),Increasing respiratory and cardiovascular symptoms
76-100,Heavy Air Pollution (HAP),Aggravation of heart and lung diseases
>100,Severe Air Pollution (SAP),Serious aggravation of diseases; risk of death in children


Pollutant,Time_Average,Industrial,Residential,Ecologically_Sensitive
SPM,Annual,360,140,70
SPM,24_hours,500,200,100
