question,answer
What causes pollution in Bhubaneswar?,Vehicular emissions have increased significantly in Bhubaneswar causing higher AQI levels.
Why is air quality poor in Angul?,Industrial smoke from thermal plants is affecting air quality in Angul.
Why pollution high in Cuttack?,Traffic congestion during peak hours raises pollution in Cuttack.
What causes dust in Talcher?,Coal mining activities contribute to airborne dust in Talcher region.
What affects air quality in Rourkela?,Steel plant emissions are under monitoring by pollution control board in Rourkela.
Why pollution low in Puri?,Sea breeze helps in reducing particulate concentration in Puri.
Why pollution in western Odisha?,Crop residue burning impacts nearby districts of western Odisha.
Why AQI stable in Sambalpur?,AQI levels remained stable due to rainfall in Sambalpur.
Why PM2.5 high in Berhampur?,Construction dust is increasing PM2.5 levels in Berhampur.
Why AQI rising in Bhubaneswar?,Government issued warnings due to rising AQI in Bhubaneswar.
