input,output
PM2.5=115 humidity=84 wind=6.3 AQI=160,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=214 humidity=35 wind=4.1 AQI=275,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=32 humidity=63 wind=5.7 AQI=44,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=32 humidity=75 wind=1.2 AQI=73,Air quality is affected because pollution is low and wind is low and pollutants are trapped.
PM2.5=250 humidity=32 wind=0.9 AQI=336,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=193 humidity=64 wind=2.9 AQI=268,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=140 humidity=72 wind=1.3 AQI=211,Air quality is affected because pollution levels are elevated and wind is low and pollutants are trapped.
PM2.5=180 humidity=84 wind=2.5 AQI=263,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=88 humidity=45 wind=2.1 AQI=126,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=37 humidity=47 wind=6.5 AQI=39,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=164 humidity=87 wind=4.6 AQI=233,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=105 humidity=95 wind=7.4 AQI=147,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=152 humidity=73 wind=0.6 AQI=231,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=223 humidity=28 wind=3.1 AQI=288,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=244 humidity=26 wind=6.6 AQI=297,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=186 humidity=47 wind=4.6 AQI=242,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=61 humidity=20 wind=7.3 AQI=52,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=141 humidity=68 wind=2.0 AQI=207,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=257 humidity=81 wind=1.4 AQI=367,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=300 humidity=58 wind=5.5 AQI=391,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=259 humidity=47 wind=3.2 AQI=344,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=141 humidity=42 wind=4.2 AQI=183,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=107 humidity=24 wind=7.9 AQI=111,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=30 humidity=59 wind=3.0 AQI=53,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=109 humidity=73 wind=5.6 AQI=150,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=32 humidity=36 wind=4.6 AQI=36,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=134 humidity=78 wind=1.5 AQI=205,Air quality is affected because pollution levels are elevated and wind is low and pollutants are trapped.
PM2.5=207 humidity=37 wind=6.6 AQI=254,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=197 humidity=65 wind=1.7 AQI=280,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=208 humidity=28 wind=2.1 AQI=273,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=209 humidity=88 wind=7.6 AQI=277,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=226 humidity=51 wind=5.1 AQI=293,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=272 humidity=29 wind=6.5 AQI=335,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=51 humidity=64 wind=3.6 AQI=80,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=35 humidity=79 wind=6.5 AQI=52,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=35 humidity=82 wind=7.9 AQI=47,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=287 humidity=67 wind=4.1 AQI=386,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=273 humidity=95 wind=4.5 AQI=379,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=20 humidity=77 wind=6.2 AQI=33,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=100 humidity=23 wind=6.6 AQI=108,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=72 humidity=88 wind=4.7 AQI=114,Air quality is affected because pollution is low and wind helps disperse pollutants.
PM2.5=102 humidity=37 wind=3.5 AQI=133,Air quality is affected because pollution levels are elevated and wind helps disperse pollutants.
PM2.5=21 humidity=22 wind=1.4 AQI=31,Air quality is affected because pollution is low and wind is low and pollutants are trapped.
PM2.5=176 humidity=62 wind=2.1 AQI=249,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=294 humidity=92 wind=6.4 AQI=396,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=22 humidity=95 wind=0.9 AQI=71,Air quality is affected because pollution is low and wind is low and pollutants are trapped.
PM2.5=294 humidity=86 wind=1.0 AQI=420,Air quality is affected because fine particles are extremely high and wind is low and pollutants are trapped.
PM2.5=298 humidity=73 wind=3.5 AQI=406,Air quality is affected because fine particles are extremely high and wind helps disperse pollutants.
PM2.5=19 humidity=56 wind=3.5 AQI=35,Air quality is affected because pollution is low and wind helps disperse pollutants.
